RA_Decl,RA,Decl,Box_Offs_Rel_SUBJ_Cntr,Box_Obsv_Done,Search_Box_Center_DECaLS_DR8_URL,DECaLS_DR8_URL,Category,Observation_Included_In_Corresponding_PNG,Category_Descrption,Working Notes,GALEX_Highest_Color__Violet_White_Blue_Green_Yellow_grAy_browN__At-DECaLS-Contrast-0.9_DECaLS-Brightness-3-upward,DR8_Core_Color,DR8_Periphery_Color,DR_8_Resids_Features,DR_8_Resids_Core_Heatmap_Colors,DR_8_Resids_Outer_Mode_Heatmap_Colors,NED_Search_URL,Separator,NED_Nearest_Obj_ID,NED Redshift,NED_Search_Mag,Search_Box_Addr,matplotlib_color,Search_Box_Center_RA_Decl
"218.6554, -2.3919",218.6561,-2.3919,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6561&dec=-2.3919&layer=dr8&zoom=15,Speck,Y,,,G,Red-Purple,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6561d%20-2.3919d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 8)",,"(218.6485, -2.381)"
"218.6601, -2.3944",218.6601,-2.3944,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6601&dec=-2.3944&layer=dr8&zoom=15,Round,Y,,,G,Orange,Purple,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6601d%20-2.3944d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 8)",,"(218.6485, -2.381)"
"218.6615, -2.3866",218.6615,-2.3866,"(-1, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6615&dec=-2.3866&layer=dr8&zoom=15,Speck,Y,,,A,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6615d%20-2.3866d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 8)",,"(218.6485, -2.381)"
"218.641100 , -2.405800",218.6411,-2.4058,"(-1, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6411&dec=-2.4058&layer=dr8&zoom=15,Spiral,Y,,,W,Blue,Blue,"Bar, Arms",Orange,"Blue, Foreground",https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6411d%20-2.4058d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143433.87-022420.3,,,"(6, 7)",,"(218.6485, -2.4127)"
"218.6533, -2.4021",218.6533,-2.4021,"(-1, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6533&dec=-2.4021&layer=dr8&zoom=15,Speck,Y,,,G,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6533d%20-2.4021d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 7)",,"(218.6485, -2.4127)"
"218.654300 , -2.418800",218.6543,-2.4188,"(-1, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6543&dec=-2.4188&layer=dr8&zoom=15,CoredOval,Y,,,B,Blue-White,Blue,Gray,Black,Noise,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6543d%20-2.4188d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143437.02-022508.2,,,"(6, 7)",,"(218.6485, -2.4127)"
"218.6322, -2.4506",218.6322,-2.4506,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6322&dec=-2.4506&layer=dr8&zoom=15,Splat,Y,,,W,Purple,Blue,Double Bar,Orange-Violet-Red,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6322d%20-2.4506d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6486, -2.4536",218.6486,-2.4536,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6486&dec=-2.4536&layer=dr8&zoom=15,Speck,Y,,,G,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6486d%20-2.4536d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6505, -2.4594",218.6505,-2.4594,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6505&dec=-2.4594&layer=dr8&zoom=15,InnerRimTorus,Y,,,G,Orange,Blue,Inner-Red-Rimmed Torus,Red Rimmed Black,Blue,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6505d%20-2.4594d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6528, -2.4296",218.6528,-2.4296,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6528&dec=-2.4296&layer=dr8&zoom=15,Splat,Y,,,G,Orange,Orange,Black,Black,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6528d%20-2.4296d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6541, -2.4493",218.6541,-2.4493,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6541&dec=-2.4493&layer=dr8&zoom=15,Speck,Y,,,A,Blue-White,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6541d%20-2.4493d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6559, -2.4356",218.6559,-2.4356,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6559&dec=-2.4356&layer=dr8&zoom=15,CoredOval,Y,,,G,Orange,Orange,Red Bar,Red,Blue with Foreground Feature at top,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6559d%20-2.4356d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6628, -2.4596",218.6628,-2.4596,"(-1, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6628&dec=-2.4596&layer=dr8&zoom=15,Round,Y,,,G,Orange,,Purple-Blue-Green-Red,Purple-Blue-Green-Red,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6628d%20-2.4596d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 6)",,"(218.6485, -2.4444)"
"218.6539, -2.4833",218.6539,-2.4833,"(-1, -1)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.4761&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6539&dec=-2.4833&layer=dr8&zoom=15,Splat,Y,,,W,Gray,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6539d%20-2.4833d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 5)",,"(218.6485, -2.4761)"
"218.6456, -2.4935",218.6456,-2.4935,"(-1, -2)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.5078&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6456&dec=-2.4935&layer=dr8&zoom=15,Speck,Y,,,A,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6456d%20-2.4935d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 4)",,"(218.6485, -2.5078)"
"218.6448, -2.5301",218.6448,-2.5301,"(-1, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6448&dec=-2.5301&layer=dr8&zoom=15,Smear,Y,,,G,Orange,Blue,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6448d%20-2.5301d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 3)",,"(218.6485, -2.5395)"
"218.6604, -2.5487",218.6604,-2.5487,"(-1, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6604&dec=-2.5487&layer=dr8&zoom=15,Splat,Y,,,G,Orange,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6604d%20-2.5487d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 3)",,"(218.6485, -2.5395)"
"218.6606, -2.5522",218.6606,-2.5522,"(-1, -3)",Y,http://www.legacysurvey.org/viewer?ra=218.6485&dec=-2.5395&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6606&dec=-2.5522&layer=dr8&zoom=15,Speck,Y,,,G,Green,,Noise,,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6606d%20-2.5522d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(6, 3)",,"(218.6485, -2.5395)"
"218.6702, -2.3955",218.6702,-2.3955,"(0, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6702&dec=-2.3955&layer=dr8&zoom=15,Splat,Y,,,Y,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6702d%20-2.3955d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 8)",,"(218.6822, -2.381)"
"218.6742, -2.3909",218.6742,-2.3909,"(0, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6742&dec=-2.3909&layer=dr8&zoom=15,Speck,Y,,,Y,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6742d%20-2.3909d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 8)",,"(218.6822, -2.381)"
"218.6745, -2.3890",218.6745,-2.389,"(0, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6745&dec=-2.389&layer=dr8&zoom=15,Speck,Y,,,Y,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6745d%20-2.389d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 8)",,"(218.6822, -2.381)"
"218.693000 , -2.391100",218.69299999999998,-2.3911,"(0, 2)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.381&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.69299999999998&dec=-2.3911&layer=dr8&zoom=15,Splat,Y,,,Y,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.69299999999998d%20-2.3911d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,SDSS J143446.31-022328.0,,,"(7, 8)",,"(218.6822, -2.381)"
"218.6782, -2.4287",218.6782,-2.4287,"(0, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6782&dec=-2.4287&layer=dr8&zoom=15,Round,Y,,,Y,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6782d%20-2.4287d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 7)",,"(218.6822, -2.4127)"
"218.6783, -2.4287",218.6783,-2.4287,"(0, 1)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4127&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6783&dec=-2.4287&layer=dr8&zoom=15,Round,Y,,,G,Blue,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6783d%20-2.4287d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 7)",,"(218.6822, -2.4127)"
"218.6683, -2.4330",218.6683,-2.4330000000000003,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6683&dec=-2.4330000000000003&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Blue,Red,Red,Blue,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6683d%20-2.4330000000000003d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6711, -2.4383",218.6711,-2.4383,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6711&dec=-2.4383&layer=dr8&zoom=15,CoredOval,Y,,,A,Orange,Blue,Orange Dot,Orange,Black,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6711d%20-2.4383d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6712, -2.4390",218.6712,-2.439,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6712&dec=-2.439&layer=dr8&zoom=15,RadialGradient,Y,,,Y,Orange,Purple,Irregular,Orange-Blue,Blue,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6712d%20-2.439d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.6785, -2.4598",218.6785,-2.4598,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6785&dec=-2.4598&layer=dr8&zoom=15,Speck,Y,,,Y,Purple,,Noise,Noise,,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6785d%20-2.4598d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,,,,"(7, 6)",,"(218.6822, -2.4444)"
"218.682200 , -2.444400",218.6822,-2.4444,"(0, 0)",Y,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,http://www.legacysurvey.org/viewer?ra=218.6822&dec=-2.4444&layer=dr8&zoom=15,Subj-Spiral-HE,Y,,,B,Purple-Blue,Purple-Blue,Red,Red,Green-Foreground,https://ned.ipac.caltech.edu/conesearch?search_type=Near%20Position%20Search&iau_style=liberal&coordinates=218.6822d%20-2.4444d&radius=1&in_csys=Equatorial&in_equinox=J2000&in_csys_IAU=Equatorial&in_equinox_IAU=B1950&z_constraint=Unconstrained&z_unit=z&ot_include=ANY&nmp_op=ANY&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1&out_csys=Same%20as%20Input&out_csys_nearname=Equatorial&out_equinox=Same%20as%20Input&out_equinox_nearname=J2000&obj_sort=Distance%20to%20search%20center,.,WISEA J143443.76-022640.2,0.1327,19.28,"(7, 6)",,"(218.6822, -2.4444)"
